ORDER_ID,AMOUNT,PROFIT,PROFITABLE_FLAG
B-25601,1275,-1148,not profitable
B-25601,66,-12,not profitable
B-25601,8,-2,not profitable
B-25601,80,-56,not profitable
B-25602,168,-111,not profitable
B-25602,424,-272,not profitable
B-25602,2617,1151,profitable
B-25602,561,212,profitable
B-25602,119,-5,not profitable
B-25603,1355,-60,not profitable
B-25603,24,-30,not profitable
B-25603,193,-166,not profitable
B-25603,180,5,profitable
B-25603,116,16,profitable
B-25603,107,36,profitable
B-25603,12,1,profitable
B-25603,38,18,profitable
B-25604,65,17,profitable
B-25604,157,5,profitable
B-25605,75,0,profitable
B-25606,87,4,profitable
B-25607,50,15,profitable
B-25608,1364,864,profitable
B-25608,476,0,profitable
B-25608,257,23,profitable
B-25608,856,385,profitable
B-25609,485,29,profitable
B-25609,25,-5,not profitable
B-25610,1076,-38,not profitable
B-25610,107,-54,not profitable
B-25610,68,-55,not profitable
B-25610,781,-594,not profitable
B-25610,43,0,profitable
B-25610,30,-5,not profitable
B-25611,160,-59,not profitable
B-25612,259,-55,not profitable
B-25613,1603,0,profitable
B-25614,494,54,profitable
B-25614,98,-12,not profitable
B-25615,68,20,profitable
B-25616,42,12,profitable
B-25616,116,-56,not profitable
B-25616,22,-2,not profitable
B-25616,14,-2,not profitable
B-25617,305,-270,not profitable
B-25618,362,127,profitable
B-25618,12,0,profitable
B-25619,353,90,profitable
B-25620,193,46,profitable
B-25621,233,-10,not profitable
B-25621,228,63,profitable
B-25621,333,-15,not profitable
B-25622,534,0,profitable
B-25623,53,1,profitable
B-25623,158,69,profitable
B-25623,149,-87,not profitable
B-25623,105,20,profitable
B-25624,26,12,profitable
B-25625,97,29,profitable
B-25625,59,30,profitable
B-25625,635,-349,not profitable
B-25626,46,-14,not profitable
B-25626,1103,-276,not profitable
B-25627,55,-39,not profitable
B-25628,45,13,profitable
B-25628,24,-9,not profitable
B-25628,35,-8,not profitable
B-25629,1560,421,profitable
B-25630,133,12,profitable
B-25630,114,-39,not profitable
B-25630,143,-129,not profitable
B-25630,40,-7,not profitable
B-25630,34,-22,not profitable
B-25630,42,-26,not profitable
B-25631,89,-89,not profitable
B-25632,19,-2,not profitable
B-25633,249,-130,not profitable
B-25633,711,-8,not profitable
B-25633,496,-79,not profitable
B-25634,389,-83,not profitable
B-25635,40,16,profitable
B-25635,23,2,profitable
B-25635,382,30,profitable
B-25636,637,113,profitable
B-25637,117,14,profitable
B-25638,182,-11,not profitable
B-25638,880,97,profitable
B-25638,154,39,profitable
B-25638,816,-96,not profitable
B-25639,1629,-153,not profitable
B-25640,68,-62,not profitable
B-25640,314,-239,not profitable
B-25640,122,-47,not profitable
B-25641,22,-6,not profitable
B-25642,434,26,profitable
B-25643,1061,-36,not profitable
B-25643,50,-44,not profitable
B-25643,37,-23,not profitable
B-25643,263,-63,not profitable
B-25643,36,-7,not profitable
B-25644,76,-92,not profitable
B-25645,273,-87,not profitable
B-25645,86,0,profitable
B-25645,133,-42,not profitable
B-25645,183,-66,not profitable
B-25646,20,-8,not profitable
B-25647,42,-6,not profitable
B-25648,100,-23,not profitable
B-25648,30,13,profitable
B-25648,55,-26,not profitable
B-25648,130,-41,not profitable
B-25649,27,-25,not profitable
B-25650,245,-78,not profitable
B-25650,211,-105,not profitable
B-25650,31,-2,not profitable
B-25650,28,-26,not profitable
B-25650,512,-225,not profitable
B-25650,925,447,profitable
B-25650,238,20,profitable
B-25650,351,-47,not profitable
B-25650,269,111,profitable
B-25651,200,-60,not profitable
B-25651,44,-8,not profitable
B-25651,7,0,profitable
B-25651,11,-4,not profitable
B-25651,16,-10,not profitable
B-25651,172,-103,not profitable
B-25651,49,3,profitable
B-25651,823,-18,not profitable
B-25651,23,4,profitable
B-25651,457,-41,not profitable
B-25652,24,-21,not profitable
B-25652,25,-2,not profitable
B-25652,174,-70,not profitable
B-25652,206,-206,not profitable
